CustomerID,AccountNumber,CustomerName,Industry,Region,AccountManagerID,FirstDrawnDate,CreditLimit,PaymentTermsDays,CustomerStatus
1,100001,Greenacre Haulage Ltd,Haulage,South West,5,2024-08-16,7500,30,Active
2,100002,Nova Groundworks Ltd,Construction,Wales,6,2024-01-31,5000,7,Active
3,100003,Silverline Logistics Ltd,Retail Distribution,South East,11,2024-08-13,75000,30,Active
4,100004,Clearway Logistics Ltd,Plant Hire,Wales,6,2024-10-11,7500,7,Active
5,100005,Bluebird Haulage Ltd,Construction,Wales,6,2025-01-02,25000,30,Active
6,100006,Crown Facilities Ltd,Retail Distribution,North West,10,2024-03-21,100000,14,Active
7,100007,Silverline Distribution Ltd,Manufacturing,South East,3,2024-02-16,10000,14,Active
8,100008,Clearway Plant Hire Ltd,Construction,Wales,6,2025-04-09,25000,7,Active
9,100009,Redstone Fleet Services Ltd,Construction,North East,7,2024-06-16,75000,14,Active
10,100010,Atlas Groundworks Ltd,Courier,Scotland,8,2024-08-22,2500,14,Active
11,100011,Summit Plant Hire Ltd,Manufacturing,Scotland,8,2025-11-02,75000,14,Active
12,100012,Greenacre Facilities Ltd,Plant Hire,South West,5,2024-09-09,100000,30,Active
13,100013,Westbrook Civil Engineering Ltd,Manufacturing,Wales,6,2024-08-12,7500,30,Active
14,100014,Albion Logistics Ltd,Construction,North East,7,2025-11-27,50000,30,Dormant
15,100015,Pioneer Recycling Ltd,Facilities,South West,5,2025-11-27,5000,30,Active
16,100016,Albion Fleet Services Ltd,Agriculture,North West,10,2025-03-21,7500,14,Dormant
17,100017,Nova Fleet Services Ltd,Retail Distribution,North East,7,2025-10-02,15000,30,Active
18,100018,Redstone Transport Ltd,Agriculture,North East,7,2025-09-05,25000,14,Dormant
19,100019,Atlas Distribution Ltd,Waste Management,South East,3,2024-09-03,150000,7,Active
20,100020,Metro Haulage Ltd,Retail Distribution,North East,7,2025-11-06,75000,30,Active
21,100021,Evergreen Recycling Ltd,Coach & Bus,South East,3,2025-12-31,15000,14,Active
22,100022,Greenacre Distribution Ltd,Facilities,London,4,2024-09-10,10000,7,Active
23,100023,Westbrook Groundworks Ltd,Courier,South East,3,2024-03-13,2500,7,Dormant
24,100024,Crown Distribution Ltd,Construction,South East,11,2025-11-16,75000,7,Active
25,100025,Nova Recycling Ltd,Manufacturing,London,4,2025-04-29,50000,7,Active
26,100026,Premier Civil Engineering Ltd,Agriculture,Wales,6,2025-04-23,2500,30,Active
27,100027,Greenacre Haulage Ltd,Haulage,Wales,6,2024-04-21,10000,7,Active
28,100028,Arrow Transport Ltd,Coach & Bus,North East,7,2025-04-18,10000,7,Active
29,100029,Clearway Groundworks Ltd,Construction,Midlands,1,2024-04-05,10000,7,Active
30,100030,Metro Plant Hire Ltd,Coach & Bus,Midlands,1,2025-01-23,2500,14,Active
31,100031,Phoenix Facilities Ltd,Waste Management,Wales,6,2024-06-07,10000,14,Active
32,100032,Crown Recycling Ltd,Retail Distribution,Midlands,9,2024-02-28,2500,30,Active
33,100033,Atlas Groundworks Ltd,Plant Hire,Midlands,1,2024-07-09,5000,30,Dormant
34,100034,Clearway Plant Hire Ltd,Coach & Bus,North West,2,2025-08-15,150000,7,Active
35,100035,Horizon Recycling Ltd,Manufacturing,Scotland,8,2024-07-28,25000,7,Active
36,100036,Bridgeway Fleet Services Ltd,Facilities,Scotland,8,2024-01-10,75000,30,Active
37,100037,Falcon Haulage Ltd,Retail Distribution,South East,11,2024-05-15,25000,7,Active
38,100038,Mercury Fleet Services Ltd,Plant Hire,London,4,2025-09-18,100000,7,Active
39,100039,Kingsway Fleet Services Ltd,Construction,North East,7,2024-04-28,5000,30,Active
40,100040,Sterling Fleet Services Ltd,Manufacturing,South East,11,2024-07-27,15000,30,Active
41,100041,Rapid Logistics Ltd,Construction,Wales,6,2024-02-15,2500,14,Active
42,100042,Greenacre Fleet Services Ltd,Plant Hire,London,4,2025-07-28,2500,7,Dormant
43,100043,Rapid Transport Ltd,Retail Distribution,Midlands,9,2025-08-19,100000,7,Active
44,100044,Crown Fleet Services Ltd,Agriculture,Midlands,9,2024-08-03,10000,30,Active
45,100045,Albion Groundworks Ltd,Coach & Bus,North East,7,2024-06-15,7500,14,Dormant
46,100046,Nova Distribution Ltd,Coach & Bus,South East,11,2024-06-12,5000,14,Active
47,100047,Clearway Facilities Ltd,Courier,South East,11,2024-12-24,15000,7,Active
48,100048,Premier Plant Hire Ltd,Coach & Bus,Scotland,8,2024-03-12,15000,14,At Risk
49,100049,Pioneer Groundworks Ltd,Agriculture,Midlands,1,2024-09-24,7500,30,Active
50,100050,Sterling Logistics Ltd,Construction,Wales,6,2024-11-17,50000,30,Active
51,100051,Falcon Civil Engineering Ltd,Manufacturing,South East,11,2024-02-15,50000,7,Active
52,100052,Phoenix Groundworks Ltd,Courier,Scotland,8,2024-03-12,25000,30,Active
53,100053,Clearway Haulage Ltd,Waste Management,South West,12,2024-11-30,50000,30,Active
54,100054,Bridgeway Plant Hire Ltd,Coach & Bus,Wales,6,2025-09-22,150000,14,Active
55,100055,Beacon Logistics Ltd,Waste Management,South West,5,2025-03-16,150000,30,Active
56,100056,Arrow Facilities Ltd,Facilities,South East,11,2024-06-22,5000,14,Active
57,100057,Greenacre Recycling Ltd,Agriculture,North West,2,2025-11-19,15000,7,Active
58,100058,Bridgeway Logistics Ltd,Haulage,South East,11,2025-09-17,5000,14,Active
59,100059,Greenacre Recycling Ltd,Courier,Wales,6,2025-02-13,10000,7,Active
60,100060,Apex Haulage Ltd,Coach & Bus,South East,3,2025-12-13,100000,14,Dormant
61,100061,Harbour Haulage Ltd,Facilities,North East,7,2025-11-14,100000,30,Active
62,100062,Albion Facilities Ltd,Manufacturing,Wales,6,2024-06-11,75000,14,Active
63,100063,Harbour Fleet Services Ltd,Retail Distribution,London,4,2024-10-08,75000,7,Active
64,100064,Harbour Fleet Services Ltd,Agriculture,Scotland,8,2024-05-21,7500,7,Active
65,100065,Bridgeway Plant Hire Ltd,Construction,Wales,6,2024-12-04,100000,14,Active
66,100066,Redstone Civil Engineering Ltd,Coach & Bus,Midlands,9,2025-05-03,2500,14,Active
67,100067,Pioneer Civil Engineering Ltd,Retail Distribution,South East,11,2024-08-12,15000,14,Active
68,100068,Pioneer Distribution Ltd,Coach & Bus,North East,7,2024-05-10,150000,30,Dormant
69,100069,Pioneer Recycling Ltd,Manufacturing,Midlands,1,2025-10-20,50000,7,Active
70,100070,Oakfield Logistics Ltd,Waste Management,Wales,6,2024-08-04,75000,14,Active
71,100071,Rapid Civil Engineering Ltd,Waste Management,Wales,6,2024-03-24,75000,7,Active
72,100072,Crown Distribution Ltd,Courier,North West,2,2024-02-01,10000,7,Active
73,100073,Silverline Transport Ltd,Courier,North East,7,2025-11-16,5000,30,Active
74,100074,Arrow Fleet Services Ltd,Agriculture,North East,7,2024-06-16,15000,7,Active
75,100075,Atlas Fleet Services Ltd,Manufacturing,Wales,6,2024-07-22,5000,30,Active
76,100076,Greenacre Plant Hire Ltd,Construction,South West,5,2025-08-02,2500,14,Active
77,100077,Premier Distribution Ltd,Construction,Scotland,8,2025-03-06,75000,7,Active
78,100078,Mercury Facilities Ltd,Plant Hire,Wales,6,2025-06-18,15000,30,Active
79,100079,Kingsway Facilities Ltd,Facilities,Wales,6,2024-11-26,10000,7,Active
80,100080,Arrow Plant Hire Ltd,Facilities,Wales,6,2024-01-30,75000,14,Active
81,100081,Redstone Distribution Ltd,Waste Management,Scotland,8,2025-09-02,15000,30,Dormant
82,100082,Redstone Haulage Ltd,Courier,Wales,6,2025-07-22,10000,30,Active
83,100083,Centurion Facilities Ltd,Facilities,Midlands,1,2024-10-28,10000,14,Active
84,100084,Northgate Recycling Ltd,Agriculture,London,4,2025-03-11,100000,14,Active
85,100085,Arrow Fleet Services Ltd,Waste Management,South West,5,2024-05-03,10000,14,Active
86,100086,Kingsway Transport Ltd,Courier,South East,11,2024-10-10,150000,30,Active
87,100087,Falcon Plant Hire Ltd,Waste Management,South East,11,2024-07-02,15000,7,Active
88,100088,Bridgeway Fleet Services Ltd,Haulage,Midlands,9,2025-12-15,7500,30,Active
89,100089,Metro Haulage Ltd,Haulage,South West,12,2025-05-05,75000,14,Active
90,100090,Crown Fleet Services Ltd,Facilities,North West,2,2025-02-14,75000,7,Active
91,100091,Premier Logistics Ltd,Plant Hire,North East,7,2024-03-28,10000,7,Active
92,100092,Horizon Recycling Ltd,Manufacturing,South East,11,2025-04-06,75000,14,Active
93,100093,Horizon Fleet Services Ltd,Manufacturing,Midlands,1,2024-07-31,10000,14,Active
94,100094,Oakfield Plant Hire Ltd,Plant Hire,North West,2,2024-01-03,50000,14,Active
95,100095,Metro Fleet Services Ltd,Haulage,South East,11,2025-12-24,15000,30,Active
96,100096,Summit Plant Hire Ltd,Waste Management,South East,11,2024-04-27,100000,7,Active
97,100097,Atlas Fleet Services Ltd,Plant Hire,North West,2,2024-06-18,15000,30,Active
98,100098,Westbrook Fleet Services Ltd,Facilities,North West,10,2025-12-06,15000,30,Active
99,100099,Sterling Groundworks Ltd,Retail Distribution,London,4,2024-03-23,150000,7,Active
100,100100,Nova Distribution Ltd,Manufacturing,South West,5,2024-04-03,10000,30,Active
101,100101,NOVA DISTRIBUTION LIMITED,Haulage,South West,5,2024-06-28,75000,30,Active
102,100102,Atlas Fleet Services Ltd,Plant Hire,Wales,6,2024-04-03,75000,14,Active
103,100103,Bluebird Haulage Ltd,Plant Hire,Scotland,8,2025-12-11,75000,14,Active
104,100104,Pioneer Groundworks Ltd,Haulage,London,4,2024-11-18,15000,14,Active
105,100105,Albion Civil Engineering Ltd,Retail Distribution,Midlands,9,2025-02-27,2500,7,Active
106,100106,Silverline Facilities Ltd,Facilities,Midlands,1,2024-09-30,100000,7,Active
107,100107,Arrow Facilities Ltd,Construction,Midlands,1,2025-12-27,7500,14,Active
108,100108,Kingsway Civil Engineering Ltd,Construction,South East,3,2025-04-17,5000,30,Active
109,100109,Metro Fleet Services Ltd,Retail Distribution,South West,12,2025-05-09,75000,7,Active
110,100110,Bridgeway Civil Engineering Ltd,Courier,North East,7,2024-10-09,50000,14,Active
111,100111,Evergreen Fleet Services Ltd,Haulage,South West,12,2025-08-24,150000,30,Active
112,100112,Bridgeway Facilities Ltd,Retail Distribution,London,4,2024-12-06,100000,30,Active
113,100113,Atlas Distribution Ltd,Courier,South East,11,2024-08-27,50000,7,Active
114,100114,Metro Civil Engineering Ltd,Coach & Bus,North East,7,2024-02-07,7500,30,Active
115,100115,Bluebird Haulage Ltd,Facilities,North West,10,2024-01-16,7500,14,Active
116,100116,Bridgeway Haulage Ltd,Facilities,South West,12,2025-09-30,50000,30,Active
117,100117,Bluebird Groundworks Ltd,Coach & Bus,Scotland,8,2025-07-08,2500,30,Dormant
118,100118,Greenacre Fleet Services Ltd,Courier,North West,10,2024-04-10,5000,14,Active
119,100119,Northgate Logistics Ltd,Haulage,Scotland,8,2024-10-27,25000,14,Active
120,100120,Harbour Groundworks Ltd,Coach & Bus,North East,7,2024-06-28,5000,30,Active
121,100121,Silverline Plant Hire Ltd,Facilities,North East,7,2025-04-17,15000,14,Active
122,100122,Apex Facilities Ltd,Waste Management,North East,7,2025-03-28,25000,30,Active
123,100123,Horizon Fleet Services Ltd,Facilities,South West,5,2025-01-28,75000,7,Active
124,100124,Westbrook Distribution Ltd,Manufacturing,South West,12,2024-01-23,50000,14,Dormant
125,100125,Clearway Logistics Ltd,Manufacturing,London,4,2024-08-23,150000,14,Active
126,100126,Redstone Recycling Ltd,Waste Management,North East,7,2025-10-04,2500,14,Active
127,100127,Crown Recycling Ltd,Agriculture,North East,7,2024-10-29,25000,30,Active
128,100128,Redstone Transport Ltd,Retail Distribution,Scotland,8,2024-06-17,15000,14,Active
129,100129,Northgate Distribution Ltd,Construction,London,4,2024-05-24,10000,30,Active
130,100130,Pioneer Groundworks Ltd,Agriculture,North West,10,2024-01-15,15000,30,Active
131,100131,Mercury Fleet Services Ltd,Manufacturing,Wales,6,2024-04-20,10000,14,Dormant
